,위도,경도,시간,거리
404,35.5065855146365,129.426190445012,33 mins,1.9 km
405,35.5457837597469,129.425863087466,54 mins,6.9 km
406,35.4955754531946,129.422615498573,11 mins,0.9 km
407,35.5105463579727,129.429598023514,40 mins,3.5 km
408,35.5110354559925,129.428219832214,38 mins,2.7 km
409,35.50618407603255,129.42625880515948,34 mins,1.9 km
410,35.48223165341764,129.41435809086823,12 mins,2.4 km
411,35.503653411034,129.425568886306,30 mins,1.3 km
412,35.48830829129847,129.41755308258652,6 mins,1.1 km
413,35.50257290990461,129.41889308190676,31 mins,1.6 km
414,35.4928687632237,129.418078687188,8 mins,0.7 km
415,35.4851023030983,129.41661204529,9 mins,1.8 km
416,35.50853562063681,129.42174097059268,35 mins,2.0 km
417,35.52247466901394,129.42976038954305,40 mins,4.1 km
418,35.4956192687659,129.422004216472,11 mins,0.9 km
419,35.49628715681862,129.4233839011509,13 mins,1.0 km
420,35.5411324785966,129.421119235563,47 mins,6.8 km
421,35.4882474825649,129.424576768773,8 mins,1.0 km
422,35.488858253249,129.419289323985,7 mins,1.2 km
423,35.4824781642734,129.411404317251,9 mins,2.2 km
424,35.48152189361172,129.42207451835253,14 mins,1.4 km
425,35.484357344299,129.414937267444,9 mins,1.7 km
426,35.4923209661942,129.419873543672,6 mins,0.6 km
427,35.4969918145228,129.424368061239,29 mins,0.8 km
428,35.5430755034078,129.423969059465,49 mins,6.6 km
429,35.4896120296225,129.420880770804,4 mins,0.4 km
430,35.503187988809785,129.42075060549234,33 mins,1.8 km
431,35.4920582171492,129.419676160366,6 mins,0.6 km
432,35.52742464998472,129.42740652459116,49 mins,4.8 km
433,35.52962509671067,129.43173747754557,41 mins,4.8 km
434,35.541283296845315,129.4249116891632,46 mins,6.4 km
435,35.5312411590679,129.432739741597,42 mins,5.4 km
436,35.5100240415528,129.425108195089,33 mins,2.2 km
437,35.4933997136977,129.42071680782,7 mins,0.6 km
438,35.51773369014237,129.425897852755,37 mins,3.3 km
439,35.4896361974415,129.417699744935,8 mins,1.2 km
440,35.524448150370795,129.4255445173891,47 mins,4.2 km
441,35.5411151992823,129.424130523941,46 mins,6.4 km
