,위도,경도,시간,거리
599,35.1403946,126.8815881,25 mins,0.9 km
600,35.1668831,126.8819216,35 mins,4.2 km
601,35.1554605,126.8490079,39 mins,4.6 km
602,35.1470795,126.8838977,25 mins,1.3 km
603,35.1322747,126.8537859,35 mins,3.4 km
604,35.15307020000001,126.8884003,38 mins,2.2 km
605,35.123513,126.8777232,41 mins,4.5 km
606,35.1619914,126.8822187,31 mins,3.4 km
607,35.1496757,126.8476648,35 mins,4.0 km
608,35.1496757,126.8476648,35 mins,4.0 km
609,35.1331148,126.8598085,28 mins,2.7 km
610,35.134822,126.8589131,31 mins,2.9 km
611,35.1197742,126.8680512,44 mins,5.3 km
612,35.1545379,126.8477816,40 mins,4.7 km
613,35.1218911,126.8822923,40 mins,4.1 km
614,35.1596826,126.8633979,42 mins,2.4 km
615,35.1535518,126.847659,39 mins,4.0 km
616,35.1470671,126.8573491,31 mins,2.4 km
617,35.1500501,126.8479203,35 mins,4.0 km
618,35.1645798,126.8614884,39 mins,5.2 km
619,35.1291487,126.8547738,33 mins,3.8 km
620,35.1478389,126.8490523,34 mins,3.2 km
621,35.1496757,126.8476648,35 mins,4.0 km
622,35.1442206,126.8559077,30 mins,2.1 km
623,35.1714644,126.8672304,54 mins,6.2 km
624,35.1542766,126.8458178,41 mins,4.1 km
625,35.1595958,126.8583011,41 mins,3.9 km
626,35.1405338,126.8826965,26 mins,0.9 km
627,35.1420362,126.8593842,32 mins,1.9 km
628,35.1573196,126.8477791,40 mins,4.4 km
629,35.1204776,126.8787338,41 mins,4.2 km
630,35.1535538,126.8683491,32 mins,1.4 km
631,35.1306837,126.854853,38 mins,3.4 km
632,35.1693904,126.8582387,44 mins,6.0 km
633,35.1716819,126.8641014,52 mins,6.6 km
634,35.1262735,126.8798804,39 mins,3.3 km
635,35.1712391,126.8658014,55 mins,6.8 km
636,35.1599435,126.8634158,48 mins,6.5 km
637,35.1440963,126.8847585,26 mins,1.3 km
638,35.1231159,126.8844232,38 mins,3.5 km
639,35.1499552,126.8476644,35 mins,4.0 km
640,35.1430132,126.8753945,22 mins,0.8 km
641,35.1712978,126.864705,53 mins,6.7 km
642,35.1234092,126.8816094,39 mins,3.5 km
643,35.1474929,126.8479416,34 mins,3.5 km
644,35.1594433,126.8582907,41 mins,3.9 km
645,35.1403946,126.8815881,25 mins,0.9 km
646,35.1378811,126.8702182,29 mins,1.8 km
647,35.1579549,126.8659202,37 mins,2.1 km
648,35.1412313,126.8777303,23 mins,0.9 km
649,35.1481653,126.8850427,28 mins,1.5 km
650,35.1712978,126.864705,53 mins,6.7 km
651,35.1645963,126.8608112,41 mins,5.6 km
652,35.14112739999999,126.8719673,27 mins,1.1 km
653,35.1672458,126.8650353,42 mins,5.3 km
654,35.1507571,126.9049392,40 mins,3.9 km
655,35.1524004,126.877764,27 mins,2.3 km
656,35.1710847,126.8687043,52 mins,6.1 km
657,35.1322071,126.852944,38 mins,4.2 km
658,35.13182030000001,126.864278,26 mins,2.5 km
659,35.1542766,126.8458178,41 mins,4.1 km
660,35.1238796,126.8799899,41 mins,3.6 km
661,35.1594482,126.8591497,42 mins,4.0 km
662,35.1362798,126.8601357,33 mins,3.1 km
663,35.1560648,126.8741392,30 mins,2.5 km
664,35.1217064,126.8811566,39 mins,4.0 km
665,35.1309318,126.854769,33 mins,3.3 km
666,35.11810639999999,126.8667437,42 mins,5.3 km
667,35.1571219,126.8459909,42 mins,4.6 km
668,35.1279628,126.8549127,32 mins,3.7 km
669,35.1289481,126.8549482,33 mins,3.8 km
670,35.1558352,126.8655575,38 mins,2.2 km
671,35.125108,126.8784621,44 mins,4.9 km
672,35.1646255,126.8600046,49 mins,6.1 km
673,35.1541618,126.8477842,40 mins,4.0 km
674,35.1526077,126.8477855,39 mins,4.9 km
675,35.1344977,126.8596646,30 mins,2.8 km
676,35.125108,126.8784621,44 mins,4.9 km
677,35.1500501,126.8479203,35 mins,4.0 km
678,35.1559002,126.8477797,38 mins,4.5 km
679,35.1239665,126.8834578,36 mins,3.3 km
680,35.1710624,126.8691237,51 mins,6.0 km
681,35.146916,126.8422982,38 mins,4.0 km
682,35.1542766,126.8458178,41 mins,4.1 km
683,35.166867,126.8771259,38 mins,3.9 km
684,35.1440963,126.8847585,26 mins,1.3 km
685,35.1316691,126.8531857,35 mins,3.5 km
686,35.1526077,126.8477855,39 mins,4.9 km
687,35.1227236,126.8662656,37 mins,4.7 km
688,35.1487033,126.8477907,33 mins,3.9 km
689,35.1291139,126.8546122,33 mins,3.8 km
690,35.1220996,126.8797064,41 mins,4.1 km
691,35.1268674,126.8796124,39 mins,3.3 km
692,35.1315275,126.8583966,28 mins,3.0 km
693,35.1716618,126.8645895,53 mins,6.7 km
694,35.140641,126.858048,31 mins,2.6 km
695,35.1252796,126.87903,41 mins,3.4 km
696,35.1276095,126.8563363,30 mins,3.6 km
697,35.1645963,126.8608112,41 mins,5.6 km
698,35.1584062,126.8596134,42 mins,3.7 km
699,35.1706129,126.8698004,51 mins,6.0 km
700,35.1594482,126.8837767,34 mins,3.6 km
701,35.123513,126.8777232,41 mins,4.5 km
702,35.1291881,126.8549499,33 mins,3.8 km
703,35.1646255,126.8600046,49 mins,6.1 km
704,35.1521222,126.8477847,40 mins,4.9 km
705,35.1560123,126.8828338,36 mins,4.2 km
706,35.1459144,126.8847792,25 mins,1.3 km
707,35.153086,126.8488392,36 mins,3.5 km
708,35.1254569,126.879617,40 mins,3.3 km
709,35.1378811,126.8702182,29 mins,1.8 km
710,35.1591879,126.8633623,41 mins,2.4 km
711,35.1521222,126.8477847,40 mins,4.9 km
712,35.1344873,126.8595005,30 mins,2.8 km
713,35.1542766,126.8458178,41 mins,4.1 km
714,35.1496757,126.8476648,35 mins,4.0 km
715,35.1594482,126.8591497,42 mins,4.0 km
716,35.1315007,126.8549605,33 mins,3.3 km
717,35.1513733,126.8706984,33 mins,1.5 km
718,35.1313415,126.8545969,33 mins,3.3 km
719,35.1714585,126.8684168,52 mins,6.1 km
720,35.145933,126.8712419,27 mins,0.9 km
721,35.1600739,126.8634248,48 mins,6.5 km
722,35.1486042,126.8458286,36 mins,4.1 km
723,35.1259067,126.8781204,43 mins,4.9 km
724,35.1264416,126.8509769,41 mins,4.5 km
725,35.1549333,126.8776234,26 mins,2.3 km
726,35.1440963,126.8847585,26 mins,1.3 km
727,35.1445388,126.8678604,27 mins,0.9 km
728,35.134822,126.8589131,31 mins,2.9 km
729,35.1378811,126.8702182,29 mins,1.8 km
730,35.13129869999999,126.8541194,34 mins,3.4 km
731,35.1322747,126.8537859,35 mins,3.4 km
732,35.144758,126.8856717,27 mins,1.4 km
733,35.1478965,126.8847082,28 mins,1.5 km
734,35.1462383,126.8845531,25 mins,1.3 km
735,35.1348115,126.859635,31 mins,2.9 km
736,35.1254582,126.8783235,43 mins,4.9 km
