요양기관명,시도코드명,시군구코드명,주소,위도,경도
굿모닝소아청소년과의원,경기도,화성시,"경기도 화성시 경기대로 985, 1층 (병점동, 홈플러스)",37.2036885,127.036705
굿모닝연합소아청소년과의원,경상북도,포항북구,"경상북도 포항시 북구 양덕로 47, 2층 (양덕동)",36.0828512,129.4016753
굿모닝의원,서울특별시,구로구,"서울특별시 구로구 개봉로3길 76, (개봉동)",37.4862634,126.8521016
굿소아청소년과의원,전라남도,순천시,"전라남도 순천시 해룡면 향매로 59, 2층 201호",34.9346568,127.5461403
굿앤웰내과소아청소년과의원,서울특별시,송파구,"서울특별시 송파구 올림픽로 212, 207호,208호 (잠실동, 갤러리아팰리스)",37.5106451,127.0852462
굿키즈소아청소년과의원,경기도,화성시,"경기도 화성시 효행로 1051, 409호 (진안동, 메인프라자)",37.2156322,127.0377131
권광인소아과의원,대구광역시,대구서구,"대구광역시 서구 국채보상로 147, 2층 (평리동)",35.8692716,128.5472411
권대현소아청소년과의원,충청북도,청주흥덕구,"충청북도 청주시 흥덕구 사운로 292, 701호 (운천동)",36.6491775,127.4740423
권소아과의원,서울특별시,광진구,"서울특별시 광진구 아차산로 502, (광장동,진넥스오딧세이 302호)",37.5413438,127.097272
권소아과의원,경상북도,구미시,"경상북도 구미시 송동로 81, 2,3층 (도량동)",36.1399656,128.3233426
권소아청소년과의원,서울특별시,은평구,"서울특별시 은평구 응암로 308, 301호 (응암동)",37.5987018,126.9213712
권소아청소년과의원,경기도,안성시,"경기도 안성시 중앙로 368, 모아빌딩 1층 103호 (석정동)",37.0120908,127.2619068
권순완소아청소년과의원,부산광역시,부산해운대구,"부산광역시 해운대구 선수촌로 94, 201호 (반여동, 대룡빌딩)",35.2021131,129.1195444
권오균소아과의원,대전광역시,대전유성구,"대전광역시 유성구 반석로 28, (반석동)",36.3915806,127.3113776
권재봉소아과의원,충청북도,충주시,"충청북도 충주시 봉계1길 52, (칠금동)",36.9810636,127.9156135
권창규소아청소년과의원,인천광역시,인천서구,"인천광역시 서구 청마로19번길 20, 202호 (당하동, 검단서울여성병원빌딩)",37.5919928,126.6726556
권향미소아과의원,충청북도,충주시,"충청북도 충주시 예성로 188, (성내동)",36.9718291,127.9368262
권혁철소아과의원,서울특별시,동작구,"서울특별시 동작구 여의대방로 22, 2층 3호 (신대방동, 신대방우성)",37.5068558,126.9350906
권형진소아과의원,경상남도,진주시,"경상남도 진주시 진양호로 344, 1층 (신안동)",35.1832514,128.0680717
규림소아청소년과의원,경기도,남양주시,"경기도 남양주시 오남읍 진건오남로 813, 2층",37.6989729,127.2018291
그녀의정원여성의원,서울특별시,강남구,"서울특별시 강남구 언주로 303, 지하2층 (역삼동)",37.4945773,127.0460699
그랜드아름다운의원,강원도,춘천시,"강원특별자치도 춘천시 중앙로 68, 4층 (중앙로2가)",37.8795103,127.7262549
그린산부인과의원,인천광역시,인천서구,"인천광역시 서구 건지로 371, (가좌동)",37.4969489,126.6831413
그린소아과의원,서울특별시,관악구,"서울특별시 관악구 신림로 169, 401호 (신림동, 영창빌딩)",37.4742259,126.9337281
그린소아청소년과의원,서울특별시,송파구,"서울특별시 송파구 오금로32길 35, 2층 201호 (송파동)",37.5032041,127.1190237
그린소아청소년과의원,서울특별시,강남구,"서울특별시 강남구 영동대로137길 3, 2층 일부 (청담동)",37.5217739,127.0552543
그린소아청소년과의원,인천광역시,인천미추홀구,"인천광역시 미추홀구 숙골로 114, 2층 201호 (도화동)",37.4721308,126.6620184
그린소아청소년과의원,전라남도,목포시,"전라남도 목포시 청호로 154, (산정동)",34.8049705,126.3751984
그린소아청소년과의원,경기도,하남시,"경기도 하남시 신장로 151, 206,207호 (덕풍동, 대동피렌체)",37.539469,127.20163
금곡윤소아청소년과의원,부산광역시,부산북구,"부산광역시 북구 효열로 69, (금곡동)",35.25225229999999,129.0138311
금동소아청소년과의원,경기도,성남중원구,"경기도 성남시 중원구 산성대로372번길 3, (금광동)",37.4452409,127.1575306
금빛여성의원,경기도,성남수정구,"경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 2층일부, 3~6층, 8층, 9층일부 (태평동)",37.4435527,127.138374
금정소아청소년과의원,부산광역시,부산금정구,"부산광역시 금정구 금정로 244, 1층 (구서동)",35.2451253,129.0922148
금천연세로이소아청소년과의원,서울특별시,금천구,"서울특별시 금천구 시흥대로 291, 272호 (독산동, 금천롯데캐슬골드파크3차)",37.4604657,126.8974181
기린소아청소년과의원,서울특별시,송파구,"서울특별시 송파구 충민로2길 24, (장지동, 리더스프라자 2층)",37.4776585,127.1272573
기린소아청소년과의원,강원도,원주시,"강원특별자치도 원주시 지정면 신지정로 266, 204호",37.3785416,127.8705793
기린아이소아청소년과의원,서울특별시,성북구,"서울특별시 성북구 월계로 52, 5층 501호 (하월곡동)",37.6114335,127.0355473
기린웰소아청소년과의원,경기도,용인기흥구,"경기도 용인시 기흥구 동백죽전대로 444, 503호 (중동, 쥬네브썬월드빌딩)",37.2786009,127.1521551
기쁨소아청소년과의원,서울특별시,노원구,"서울특별시 노원구 동일로216길 70, 1층 (상계동, 상계주공4단지아파트)",37.65018999999999,127.0626251
기쁨소아청소년과의원,광주광역시,광주광산구,"광주광역시 광산구 목련로153번길 134, (운남동)",35.1777105,126.8161004
기상석소아청소년과의원,서울특별시,도봉구,"서울특별시 도봉구 해등로 190, 203호 (쌍문동, 신원주상복합2차아파트상가)",37.6583127,127.0357993
길소아청소년과의원,충청북도,청주상당구,"충청북도 청주시 상당구 원봉로 21, 204호 (용암동, 태암소라아파트상가)",36.612049,127.510472
길태환소아청소년과의원,대전광역시,대전동구,"대전광역시 동구 새들2길 30, 2층 207-208호 (신흥동)",36.3262079,127.4426002
김&안소아과의원,서울특별시,양천구,"서울특별시 양천구 신목로 86, 2층 (신정동)",37.5223103,126.8747802
김강호소아청소년과의원,광주광역시,광주남구,"광주광역시 남구 봉선중앙로 86, (봉선동)",35.1286706,126.9112208
김경배소아청소년과의원,전라북도,익산시,"전북특별자치도 익산시 부송로 71, (부송동)",35.9579297,126.9903472
김경범소아청소년과의원,경기도,시흥시,"경기도 시흥시 도일로135번길 4, 302호 (거모동, 빅타운)",37.3426399,126.784596
김경신소아청소년과의원,경기도,수원장안구,"경기도 수원시 장안구 파장로 37, (파장동)",37.3051151,126.9963558
김경환소아청소년과의원,부산광역시,부산북구,"부산광역시 북구 덕천로234번길 5, (만덕동)",35.2097454,129.0306672
김경효소아과의원,서울특별시,구로구,"서울특별시 구로구 구일로8길 92, 205호 (구로동, 중앙구로하이츠아파트)",37.4965415,126.8759259
김경희소아청소년과의원,전라북도,전주덕진구,"전북특별자치도 전주시 덕진구 세병로 176, 4층 401호 (송천동2가)",35.8788736,127.1331421
김계영 내과.소아 청소년과 의원,부산광역시,부산남구,"부산광역시 남구 수영로 252, (대연동, (1,2층))",35.1350663,129.0942124
김광정소아과의원,경기도,부천소사구,"경기도 부천시 소사구 경인로248번길 7, (심곡본동)",37.4827404,126.783241
김교일소아청소년과의원,대구광역시,대구달서구,"대구광역시 달서구 월배로11길 32, (대천동)",35.8160572,128.5197039
김규엽소아청소년과의원,경기도,의왕시,"경기도 의왕시 내손로 76, 2층 2호 (내손동, 보우상가)",37.38683,126.9794763
김기민소아청소년과의원,경상남도,창원진해구,"경상남도 창원시 진해구 충장로 133, (여좌동)",35.1545788,128.660725
김나연소아과의원,경기도,의정부시,"경기도 의정부시 부용로213번길 14, 201호 (용현동, 성지빌딩)",37.7500373,127.0806535
김남철소아청소년과의원,대전광역시,대전동구,"대전광역시 동구 우암로 173, (성남동)",36.3416433,127.4326771
김대일소아청소년과의원,경기도,광주시,"경기도 광주시 초월읍 경충대로 912, 3층 307,308,309호",37.3641539,127.3129053
김덕하소아청소년과의원,경기도,화성시,"경기도 화성시 동탄지성로 134, 402호 (능동, 한솔프라자)",37.2096109,127.0609667
