요양기관명,시도코드명,시군구코드명,주소,위도,경도
미래이비인후과소아청소년과의원,경기도,평택시,"경기도 평택시 비전5로 20-24, 312,313호 (비전동)",36.99888,127.1139544
미르소아청소년과의원,전라북도,전주완산구,"전북특별자치도 전주시 완산구 쑥고개로 324, 3층 (효자동2가)",35.8021388,127.1008205
미르소아청소년과의원,경기도,시흥시,"경기도 시흥시 은계번영길 9, 골드웨이Ⅰ 5층 510~511호 (은행동)",37.4375908,126.8016669
미리내소아청소년과의원,경상남도,김해시,"경상남도 김해시 능동로 153, 삼화빌딩 603호 (부곡동)",35.2024511,128.8079584
미리안산부인과의원,경상북도,구미시,"경상북도 구미시 구미중앙로 149, 4,5층 (원평동)",36.1261471,128.3385022
미사도담의원,경기도,하남시,"경기도 하남시 미사대로 520, 현대지식산업센터 한강미사2차 C동 3층 342~343호 (덕풍동)",37.5588867,127.2041044
미사린소아청소년과의원,경기도,하남시,"경기도 하남시 미사강변대로34번길 66, 플레이스이안 2층 205~207호 (풍산동)",37.5554397,127.1876917
미소소아청소년과의원,충청북도,청주흥덕구,"충청북도 청주시 흥덕구 대농로 48, LK타워 303호 (복대동)",36.6416776,127.4276044
미소소아청소년과의원,대전광역시,대전유성구,"대전광역시 유성구 반석로 16, 반석크리닉빌딩 5층 (반석동)",36.3918415,127.3126553
미소아과의원,경기도,평택시,"경기도 평택시 이충로35번길 20-9, 302,303호 (이충동, 센타프라자)",37.0602926,127.0664751
미소아청소년과의원,경기도,파주시,"경기도 파주시 가람로116번길 57, 301호 일부호 (와동동, 중앙타워)",37.734962,126.7645995
미즈맘 의원,충청남도,당진시,"충청남도 당진시 당진중앙2로 415, 동성빌딩 2~6.9층 (수청동)",36.900575,126.6452418
미즈맘소아청소년과의원,경상남도,거제시,"경상남도 거제시 거제중앙로 1729, (상동동)",34.8657585,128.629979
미즈모아여성의원,경상남도,양산시,"경상남도 양산시 양산역6길 9, 비와이씨마트 6, 7, 8층 (중부동)",35.33758960000001,129.027077
미즈소아청소년과의원,서울특별시,강동구,"서울특별시 강동구 천호대로 1041-8, 강동미즈 주차타워 2층 (천호동)",37.5378649,127.1282072
미즈소아청소년과의원,대전광역시,대전서구,"대전광역시 서구 문정로48번길 58, 5층 (탄방동)",36.3439724,127.3841955
미즈아이소아청소년과의원,대전광역시,대전서구,"대전광역시 서구 문정로2번길 95, 3층 (탄방동, 주안빌딩)",36.3433143,127.385509
미즈아이프라자산부인과의원,서울특별시,노원구,"서울특별시 노원구 동일로 1669, 수락프라자 (상계동)",37.6774464,127.0550713
미즈피아산부인과의원,경기도,안산상록구,"경기도 안산시 상록구 샘골로 112, (본오동)",37.293767,126.8632339
민들레소아청소년과의원,전라북도,전주덕진구,"전북특별자치도 전주시 덕진구 시천로 40, 201호 (송천동1가)",35.8629334,127.1148269
민들레소아청소년과의원,경상북도,김천시,"경상북도 김천시 혁신3로 5, (율곡동, 율곡스퀘어Ⅲ)",36.1144846,128.1815296
민소아과의원,경기도,부천원미구,"경기도 부천시 원미구 계남로 127, 한라마을아파트 203호 (중동)",37.5085449,126.7630279
민소아청소년과의원,전라남도,여수시,"전라남도 여수시 소라면 죽림로 15, 2층",34.7622959,127.6395594
민소아청소년과의원,경상남도,김해시,"경상남도 김해시 삼안로 223, (삼방동)",35.2479225,128.9108787
민소아청소년과의원,제주특별자치도,제주시,"제주특별자치도 제주시 인다10길 35, 2층 (아라일동)",33.4746481,126.5494216
민소아청소년과의원,경기도,구리시,"경기도 구리시 갈매순환로 7, 에이스프라자 2층 2호 (갈매동)",37.6259873,127.1117228
민소아청소년과의원,경기도,양주시,"경기도 양주시 삼숭로38번길 80, (삼숭동, 양주프라자1  2105호)",37.7960363,127.1059018
민앤민소아청소년과의원,경기도,안양동안구,"경기도 안양시 동안구 동편로 16, 403호 (관양동, 동편프라자)",37.40608330000001,126.9714722
민앤민의원,서울특별시,강남구,"서울특별시 강남구 강남대로 406, GLASS TOWER 15층 1호 (역삼동)",37.4990329,127.0276653
민정식소아청소년과의원,부산광역시,부산사상구,"부산광역시 사상구 사상로 293, 민정식소아과의원 (덕포동)",35.170915,128.9826227
민정식엠엔엠소아청소년과의원,경기도,구리시,"경기도 구리시 장자대로 72, 3층 304호 (수택동, 미림프라자)",37.5873092,127.1384436
민트소아청소년과의원,대구광역시,대구동구,"대구광역시 동구 송라로 142, 2층 (신암동)",35.8792536,128.6153721
민트소아청소년과의원,경기도,고양일산서구,"경기도 고양시 일산서구 하이파크2로 40, 금문프라자 2층 204호, 205호 (덕이동)",37.6997803,126.7571489
바른소리의원,부산광역시,부산동래구,"부산광역시 동래구 충렬대로 200, 4층 (수안동)",35.2026414,129.0813274
바른소아청소년과의원,경기도,시흥시,"경기도 시흥시 은계번영길 2, 서미프라자 3층 303~304호 (은행동)",37.4365442,126.8022287
바른소아청소년과의원,경기도,김포시,"경기도 김포시 전원로 32, 전원마을월드1단지아파트 상가동 2층 203호 (운양동)",37.6457977,126.6850793
바른소아청소년과의원,경기도,의정부시,"경기도 의정부시 서광로 135, 303호 (산곡동)",37.7289471,127.110913
바른소아청소년과의원,경기도,이천시,"경기도 이천시 마장면 중앙로10번길 30, 2층 207.208호",37.2513515,127.3562776
바른연합소아청소년과의원,대구광역시,대구달서구,"대구광역시 달서구 조암로 149, 302, 502호 (대천동)",35.8189341,128.5161092
바른우리의원,경기도,남양주시,"경기도 남양주시 진건읍 진건오남로 69, 2층",37.6568727,127.1783112
바른이비인후과소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 세월천로 42, 2층 (청천동)",37.5131141,126.7048873
바른키움소아청소년과의원,서울특별시,양천구,"서울특별시 양천구 오목로 299, 웨스턴에비뉴동 가로변상가 4층 401호 (목동, 목동트라팰리스)",37.5259926,126.8703832
바움소아청소년과의원,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 월드컵로 8, 4층 401호 (강정동)",33.2490866,126.506951
박경란소아청소년과의원,경기도,구리시,"경기도 구리시 체육관로80번길 9, 2층 (수택동)",37.5919074,127.1385877
박광선소아청소년과의원,경상남도,창원진해구,"경상남도 창원시 진해구 안골로 344, 용원마이다스빌딩 3층 303호 (용원동)",35.1016481,128.8101827
박동건소아과의원,경기도,부천원미구,"경기도 부천시 원미구 장말로 198, (상동)",37.492731,126.7638566
박래경소아청소년과의원,충청남도,홍성군,"충청남도 홍성군 홍성읍 내포로 6, (홍성읍)",36.6011437,126.6662616
박문호소아청소년과의원,대구광역시,대구중구,"대구광역시 중구 동덕로 91, 6층 (대봉동, 파이론 빌딩)",35.8626896,128.6026046
박미란소아청소년과의원,서울특별시,관악구,"서울특별시 관악구 남부순환로 1938, (봉천동)",37.4765712,126.9641198
박미정성장의원,서울특별시,송파구,"서울특별시 송파구 올림픽로 145, 리센츠 제C동 3층 04호 (잠실동)",37.5137382,127.0700994
박상수소아청소년과의원,울산광역시,울산중구,"울산광역시 중구 태화로 172, (태화동)",35.552409,129.2945425
박상조소아청소년과의원,부산광역시,부산사하구,"부산광역시 사하구 하신중앙로 184, 111호 (신평동)",35.0952252,128.9623453
박상준소아청소년과의원,경기도,남양주시,"경기도 남양주시 진접읍 해밀예당1로 50-70, 스타프라자 301호",37.7118877,127.1871842
박상학소아청소년과의원,경기도,과천시,"경기도 과천시 별양로 28, (원문동, 래미안슈르상가 B동 2072호~2073호)",37.421626,126.99159
박상현소아청소년과의원,서울특별시,성북구,"서울특별시 성북구 보국문로 33, 204호 (정릉동)",37.6073613,127.0100793
박상현소아청소년과의원,경기도,광명시,"경기도 광명시 광명로 877, 한진B상가동 2304호 (광명동, 한진아파트)",37.4777535,126.8521478
박상호의원,서울특별시,노원구,"서울특별시 노원구 동일로 1280, 201호 (중계동, 시영2단지상가)",37.643527,127.0654588
박샘소아청소년과의원,경기도,평택시,"경기도 평택시 중앙로 176, 222호 (합정동, SK뷰주상복합2)",36.9914102,127.1023973
박성균소아청소년과의원,서울특별시,서대문구,"서울특별시 서대문구 문화촌길 6, 승희빌딩 5층 (홍제동)",37.5926658,126.9478223
박성기소아청소년과의원,부산광역시,부산사하구,"부산광역시 사하구 하신번영로 233, 227동 201~203호 (하단동, 가락타운2단지아파트상가)",35.1009466,128.957267
박성수소아청소년과의원,부산광역시,부산해운대구,"부산광역시 해운대구 해운대로38번길 70, 3층 302호 (재송동)",35.1910462,129.1176035
박성신소아과의원,서울특별시,관악구,"서울특별시 관악구 신원로 16, (신림동)",37.480802,126.928079
박성희소아청소년과의원,경상남도,창원의창구,"경상남도 창원시 의창구 읍성로 60, 3층 (소답동)",35.2648079,128.6244937
박소아과의원,서울특별시,용산구,"서울특별시 용산구 신흥로 93, (용산동2가)",37.5455747,126.985156
박소아과의원,서울특별시,성동구,"서울특별시 성동구 독서당로 173, 205호 (옥수동, 극동그린아파트상가)",37.5420106,127.0102726
박소아과의원,경기도,부천원미구,"경기도 부천시 원미구 조마루로 137, 204호 (중동, 포도마을삼보상가)",37.5010909,126.7591239
박소아과의원,경기도,고양일산동구,"경기도 고양시 일산동구 강송로 169, (마두동, 한주프라자202호)",37.6538134,126.7835945
박소아과의원,경기도,이천시,"경기도 이천시 장호원읍 장감로87번길 4, (장호원읍)",37.117839,127.6322265
박소아과의원,경기도,포천시,"경기도 포천시 중앙로115번길 4, (신읍동)",37.8969134,127.2025122
박소아청소년과의원,서울특별시,강남구,"서울특별시 강남구 광평로19길 10, 205호 (수서동, 까치마을상가)",37.4847337,127.0876186
박소아청소년과의원,서울특별시,성북구,"서울특별시 성북구 보문로 93, 4층 (보문동5가)",37.5824003,127.0200823
박소아청소년과의원,부산광역시,부산기장군,"부산광역시 기장군 일광읍 해빛로 17, 4층 402호",35.2662967,129.2259217
박소아청소년과의원,부산광역시,부산동구,"부산광역시 동구 초량상로 92, (초량동)",35.1197271,129.0389446
박소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 경원대로 1238, 2층 (산곡동)",37.500065,126.702319
박소아청소년과의원,경기도,파주시,"경기도 파주시 시청로 209, 2층 (아동동, 호수빌딩)",37.7709535,126.7758148
박소아청소년과의원,인천광역시,인천연수구,"인천광역시 연수구 용담로 11, 2층 (청학동)",37.4225003,126.6695773
박소아청소년과의원,경기도,수원장안구,"경기도 수원시 장안구 송원로 81, (조원동, 메가플러스)",37.3021397,127.0092104
박소아청소년과의원,경기도,남양주시,"경기도 남양주시 화도읍 수레로 1234-26, 205호 (창현신명상가)",37.6466067,127.303836
박소아청소년과의원,충청북도,진천군,"충청북도 진천군 진천읍 중앙동로 100, (진천읍)",36.85873309999999,127.4447474
박소아청소년과의원,경상남도,김해시,"경상남도 김해시 율하1로 106, 402호 (율하동, 네오프라자)",35.1731307,128.8150516
박소영소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 길주남로 157, 303호 (부개동, 태성프라자)",37.5039906,126.7393428
박수언소아청소년과의원,경기도,용인수지구,"경기도 용인시 수지구 현암로 121, 202,203호 (죽전동, 에머랄드존)",37.3319839,127.1228415
박수연소아청소년과의원,울산광역시,울산남구,"울산광역시 남구 대암로 69, 301~303호 (야음동)",35.5307624,129.3239161
박승남소아청소년과의원,경기도,의정부시,"경기도 의정부시 녹양로 77, 1,2층 (녹양동)",37.7577723,127.0339739
박승원소아청소년과의원,부산광역시,부산사상구,"부산광역시 사상구 가야대로 290-8, (주례동)",35.1501208,129.0046649
박영경소아과의원,광주광역시,광주서구,"광주광역시 서구 화정로 250, 2,3,4층 (화정동)",35.1473216,126.8842759
박우생소아청소년과의원,경상남도,창원진해구,"경상남도 창원시 진해구 풍호로 41, (자은동, 407호)",35.1401212,128.7056758
박유인소아청소년과의원,강원도,강릉시,"강원특별자치도 강릉시 솔올로 25, 2층 (교동)",37.7641973,128.877633
박응원미모아의원,경상북도,포항남구,"경상북도 포항시 남구 오천읍 냉천로 306, 2~4층",35.9674539,129.4092598
박의수소아청소년과의원,서울특별시,도봉구,"서울특별시 도봉구 도봉로 733, (도봉동)",37.6699376,127.0432609
박인승소아청소년과의원,경기도,부천소사구,"경기도 부천시 소사구 은성로67번길 12, (소사본동, 소새울 KCC스위첸)",37.4757337,126.7991534
박재완소아청소년과의원,서울특별시,강서구,"서울특별시 강서구 양천로 73, 303호 (방화동, 멤브로빌딩)",37.5729862,126.8076185
박재홍의원,부산광역시,부산중구,"부산광역시 중구 해관로 30, 팬스타크루즈프라자 2층 (중앙동2가)",35.1015624,129.0359164
박정권소아청소년과의원,경상북도,칠곡군,"경상북도 칠곡군 석적읍 유학로 18, 2층",36.07919210000001,128.4118455
박정금소아청소년과의원,경기도,성남수정구,"경기도 성남시 수정구 수정로 358, 2층 (산성동)",37.455683,127.1502024
박정수연세의원,서울특별시,서초구,"서울특별시 서초구 방배로 32, 205호 (방배동)",37.4778829,127.000334
박정숙소아청소년과의원,부산광역시,부산해운대구,"부산광역시 해운대구 해운대해변로 83, 401호 (우동, 경남마리나상가)",35.1617077,129.1423386
박정현소아과의원,충청북도,청주상당구,"충청북도 청주시 상당구 중흥로 54, 2층 (용암동)",36.6106542,127.503433
박지영소아청소년과의원,경상남도,통영시,"경상남도 통영시 광도면 죽림1로 17-51, (동성프라자)",34.8798806,128.4152121
박진녕소아청소년과의원,경기도,용인기흥구,"경기도 용인시 기흥구 구성로 88, (언남동, 국민은행)",37.2941644,127.1189505
박진소아청소년과의원,서울특별시,영등포구,"서울특별시 영등포구 대림로 157, (대림동)",37.4949086,126.8994652
박진아소아청소년과의원,경기도,파주시,"경기도 파주시 새꽃로 62, 303호 (금촌동, 베스트프라자)",37.7554807,126.7689508
박쾌종소아과의원,대전광역시,대전유성구,"대전광역시 유성구 엑스포로 481, (전민동)",36.3992709,127.4045492
박현숙소아과의원,서울특별시,노원구,"서울특별시 노원구 동일로 1024, (공릉동)",37.6304722,127.0909904
박현우소아청소년과의원,경상남도,김해시,"경상남도 김해시 삼계로 250, 204호 (삼계동, 분성마을2단지부영아파트상가)",35.2665866,128.8669233
박화영소아청소년과의원,서울특별시,노원구,"서울특별시 노원구 동일로203가길 29, 2층 (중계동, 브라운스톤중계)",37.6400147,127.0642892
반기석소아청소년과의원,충청북도,충주시,"충청북도 충주시 예성로 177, (충인동)",36.9737559,127.9320832
반디소아청소년과의원,경기도,화성시,"경기도 화성시 동탄광역환승로 73, 124,125호 (오산동, 동탄역 반도유보라 아이비파크 8.0)",37.2029661,127.0906923
반야월정형외과소아과의원,대구광역시,대구동구,"대구광역시 동구 반야월로 96, (율하동)",35.8733831,128.698926
반여센텀소아청소년과의원,부산광역시,부산해운대구,"부산광역시 해운대구 선수촌로 65-25, 우진빌딩 1,3,4,5층 (반여동)",35.1997014,129.1175341
반포키즈소아청소년과의원,서울특별시,서초구,"서울특별시 서초구 신반포로 257, 4층 (잠원동, 뉴타운)",37.5096201,127.0132783
밝은미래소아청소년과의원,경기도,의왕시,"경기도 의왕시 경수대로 236, 2층 (고천동, 한국빌딩)",37.34791939999999,126.9745174
밝은미래소아청소년과의원,인천광역시,인천남동구,"인천광역시 남동구 서창남순환로 223, A동 405,406층 (서창동, 아페리온)",37.4248419,126.7491077
밝은봄소아청소년과의원,서울특별시,동작구,"서울특별시 동작구 흑석한강로 27, 106동  B104호 (흑석동, 흑석한강푸르지오상가)",37.5035423,126.9658614
밝은소아청소년과의원,광주광역시,광주동구,"광주광역시 동구 무등로 386, 3층 (계림동)",35.1601694,126.9249113
밝은아이소아청소년과의원,경기도,남양주시,"경기도 남양주시 늘을2로 26, (호평동, 메인시네마타워502호)",37.6550733,127.2440765
밤가시연세소아청소년과의원,경기도,고양일산동구,"경기도 고양시 일산동구 일산로 452, 일산프라자 5층 502~503호 (정발산동)",37.6740429,126.7769519
방글소아청소년과의원,경기도,남양주시,"경기도 남양주시 화도읍 비룡로 111, 4층 402호",37.661769,127.3026458
방소아청소년과의원,서울특별시,양천구,"서울특별시 양천구 오목로 226, (신정동)",37.5256713,126.8626828
방실방실소아과의원,서울특별시,송파구,"서울특별시 송파구 백제고분로50길 31, (방이동, 2층)",37.5134482,127.1181954
방찬호소아청소년과의원,경기도,수원권선구,"경기도 수원시 권선구 상탑로 52, 2층 (탑동, 일신빌딩)",37.2713597,126.9768469
배곧누리의원,경기도,시흥시,"경기도 시흥시 배곧5로 66-7, 더 프리미엄 타워 3층 301호~303호 (배곧동)",37.3821393,126.7347116
배곧연세소아청소년과의원,경기도,시흥시,"경기도 시흥시 서울대학로278번길 43-13, 4층 401호 (배곧동)",37.3692327,126.730191
배광열소아청소년과의원,부산광역시,부산해운대구,"부산광역시 해운대구 재반로 83, (재송동)",35.1861298,129.1253466
배산소아청소년과의원,부산광역시,부산연제구,"부산광역시 연제구 연수로 223, 2층 (연산동)",35.1737286,129.0951942
배소아청소년과의원,서울특별시,동작구,"서울특별시 동작구 상도로 102, 2층 (상도동, 성대시장)",37.4997236,126.9318514
배소아청소년과의원,경기도,용인기흥구,"경기도 용인시 기흥구 구갈로 70, 602호 (구갈동, 메가타운)",37.2805417,127.1116844
배영민소아청소년과의원,경기도,화성시,"경기도 화성시 병점2로 30, 2층 207호 (병점동, 명신프라자)",37.2060864,127.040315
백경훈소아청소년과의원,경기도,양주시,"경기도 양주시 평화로 1440, 302호 (덕계동)",37.8207655,127.0576529
백석소아청소년과의원,충청남도,천안서북구,"충청남도 천안시 서북구 한들3로 83, 203호 (백석동)",36.8310842,127.1232431
백설소아과의원,서울특별시,중구,"서울특별시 중구 다산로 32, 상가5동 2층 225호 (신당동, 남산타운)",37.5490132,127.0092806
백소아과의원,서울특별시,노원구,"서울특별시 노원구 동일로 1689, 2층 (상계동, 하이베라스)",37.679119,127.0548865
백영수소아과의원,경상북도,경주시,"경상북도 경주시 용담로116번길 6, 5층 (황성동)",35.865335,129.2096245
백용운소아청소년과의원,부산광역시,부산금정구,"부산광역시 금정구 장전로 10, 가온메디컬 4층 (장전동)",35.2278609,129.0876431
범어아이사랑소아청소년과의원,대구광역시,대구수성구,"대구광역시 수성구 범어천로 186, 403호 (범어동, 범어메디스퀘어)",35.863321,128.6212463
범어아이자람 소아청소년과의원,대구광역시,대구수성구,"대구광역시 수성구 동대구로 336, 상가동 201호 (범어동, 마크팰리스 범어)",35.8604903,128.627474
법동한빛소아과의원,대전광역시,대전대덕구,"대전광역시 대덕구 계족로 667, 3층 (법동, 282-3 대덕빌딩)",36.3709099,127.428446
벗이비인후과의원,경기도,광명시,"경기도 광명시 금하로 464, 메이저리치안 2층 201호, 4층 401-404호 (소하동)",37.4484685,126.8840526
베델소아청소년과의원,전라북도,전주완산구,"전북특별자치도 전주시 완산구 세내로 540, (효자동3가)",35.83386,127.1001068
베스트산부인과의원,경기도,수원장안구,"경기도 수원시 장안구 만석로5번길 12-10, (천천동)",37.2953876,126.9831413
베스트연합의원,서울특별시,송파구,"서울특별시 송파구 마천로 281, 지하1층,1층 (마천동)",37.4971385,127.1480339
벧엘의원,경상북도,포항남구,"경상북도 포항시 남구 오천읍 원동로 3, (오천읍)",35.9635128,129.4026263
벨라시타가정의학과의원,경기도,고양일산동구,"경기도 고양시 일산동구 강송로 33, A-1201-3호 (백석동, 일산요진와이시티)",37.6413594,126.7922658
변우현이비인후과의원,서울특별시,서대문구,"서울특별시 서대문구 통일로37길 4, 2층 (홍제동)",37.5882279,126.9444526
변혜란소아청소년과의원,서울특별시,서초구,"서울특별시 서초구 반포대로 58, 213-1호 (서초동, 서초아트자이상가)",37.4856214,127.0114381
변화진소아청소년과의원,인천광역시,인천미추홀구,"인천광역시 미추홀구 아암대로29번길 86, (용현동)",37.4562453,126.640851
별내마리산부인과의원,경기도,남양주시,"경기도 남양주시 별내3로 320, 센트럴프라자 2~6층 (별내동)",37.6660227,127.11781
별소아청소년과의원,서울특별시,구로구,"서울특별시 구로구 개봉로 71, 강서프라자 2층 (개봉동)",37.4920789,126.8556781
별소아청소년과의원,서울특별시,양천구,"서울특별시 양천구 신정로 312, 뉴프라자 404호 (신정동)",37.5132372,126.8555397
별소아청소년과의원,서울특별시,마포구,"서울특별시 마포구 월드컵북로 347, 4층 401호 (상암동, 상암메디컬빌딩)",37.5763333,126.8931357
별소아청소년과의원,서울특별시,은평구,"서울특별시 은평구 은평로 220, 119,120호 (응암동, 녹번역e편한세상캐슬아파트)",37.5992761,126.9320514
별소아청소년과의원,경기도,안성시,"경기도 안성시 중앙로 252, 2층 (석정동)",37.0129617,127.2568082
별소아청소년과의원,충청북도,음성군,"충청북도 음성군 맹동면 원중로 1438, 4층",36.9096931,127.5407617
별소아청소년과의원,충청남도,서산시,"충청남도 서산시 충의로 27, (예천동)",36.7737,126.4388536
별소아청소년과의원,대구광역시,대구북구,"대구광역시 북구 동북로 345, 3층 303-1호 (복현동, 복현푸르지오상가동)",35.8946565,128.6290996
별앤빛소아청소년과의원,경상북도,영천시,"경상북도 영천시 망정1길 200, 1층 (망정동)",35.9825652,128.9516373
별이비인후과의원,경기도,광명시,"경기도 광명시 오리로 801, 가상가동 4층 401호 (하안동, e편한세상센트레빌아파트)",37.469375,126.868415
보들아이소아청소년과의원,서울특별시,송파구,"서울특별시 송파구 송파대로 345, A동 2층 2006호의 일부,2007호(가락동, 헬리오시티) (가락동, 헬리오시티)",37.497519,127.1072265
보람소아청소년과의원,인천광역시,인천계양구,"인천광역시 계양구 장제로 1004, 201~203호 (박촌동, 한양수자인상가동)",37.5523399,126.7505815
보람소아청소년과의원,경상남도,진주시,"경상남도 진주시 진양호로 255, (평거동)",35.1767502,128.0625194
보송소아청소년과의원,부산광역시,부산해운대구,"부산광역시 해운대구 해운대로 814, 세종월드프라자 B동 4층 422호 (좌동)",35.1733447,129.1767384
보스턴은소아청소년과의원,서울특별시,관악구,"서울특별시 관악구 양녕로 46, 302호 (봉천동, 메카플러스)",37.4861536,126.9473568
보통의의원,서울특별시,강남구,"서울특별시 강남구 압구정로29길 65, 442빌딩, 3층일부 (압구정동)",37.5317386,127.0270157
복십자의원,강원도,춘천시,"강원특별자치도 춘천시 중앙로 9, (중앙로1가)",37.8842658,127.7297482
복음연합의원,광주광역시,광주서구,"광주광역시 서구 염화로 83, 2층 (화정동)",35.1420564,126.8740867
본메디조아의원,부산광역시,부산동래구,"부산광역시 동래구 충렬대로 413, 5층 (안락동)",35.1968904,129.1036445
본소아청소년과의원,부산광역시,부산북구,"부산광역시 북구 금곡대로 161, 3층 (화명동)",35.2234578,129.0089313
본소아청소년과의원,경상북도,구미시,"경상북도 구미시 박정희로 599, 204,205호 (송정동, 푸르지오캐슬 A단지)",36.1232708,128.3397332
본이비인후과의원,대전광역시,대전대덕구,"대전광역시 대덕구 대덕대로 1591-1, 2층 (석봉동, 로하스빌딩)",36.4505769,127.4247357
봄내아이 소아청소년과의원,강원도,춘천시,"강원특별자치도 춘천시 지석로 11, (퇴계동)",37.853995,127.7375226
봄봄소아청소년과의원,서울특별시,마포구,"서울특별시 마포구 고산18길 13, 4층 401~404호 (대흥동)",37.5538293,126.9454886
봄봄소아청소년과의원,경기도,부천오정구,"경기도 부천시 오정구 소사로 680, 3층 일부호 (작동)",37.5166256,126.8043951
봄빛소아청소년과의원,전라북도,전주완산구,"전북특별자치도 전주시 완산구 거마평로 22, 2층 (삼천동1가)",35.7943313,127.1170708
봄빛소아청소년과의원,인천광역시,인천남동구,"인천광역시 남동구 매소홀로 1137, 2층 (서창동)",37.4385965,126.7491064
봄빛연합소아청소년과의원,대구광역시,대구북구,"대구광역시 북구 동화천로 241, 연경그랜드타워 2층 201호 (연경동)",35.9424817,128.6173444
봄샘소아청소년과의원,부산광역시,부산동래구,"부산광역시 동래구 중앙대로 1523, SKHUBSKY A3동 3층 7,8,9호 (온천동)",35.2212937,129.0855784
봄소아청소년과의원,부산광역시,부산기장군,"부산광역시 기장군 일광읍 해빛1로 74, 일광골드타워 503호",35.2604019,129.2228505
봄소아청소년과의원,경기도,화성시,"경기도 화성시 봉담읍 참샘길 2, 1층",37.2157414,126.9761486
봄소아청소년과의원,경기도,용인수지구,"경기도 용인시 수지구 신봉2로 2, 310,311호 (신봉동, 센트럴500상가)",37.323262,127.0779366
봄소아청소년과의원,대전광역시,대전서구,"대전광역시 서구 구봉로 125, 스카이프라자 204호(관저동)",36.2965955,127.3369532
봄소아청소년과의원,충청남도,논산시,"충청남도 논산시 중앙로 255, 2층 (내동)",36.1898972,127.0990291
봄소아청소년과의원,울산광역시,울산북구,"울산광역시 북구 매곡1로 15, 3층 (매곡동)",35.6427625,129.3537585
봄소아청소년과의원,경상남도,거창군,"경상남도 거창군 거창읍 거창대로 78-1, (거창읍)",35.6886371,127.9157727
봄소아청소년과의원,경상남도,진주시,"경상남도 진주시 사들로 56, 2층 206호 (충무공동)",35.1725127,128.1490272
봄소아청소년과의원,인천광역시,인천동구,"인천광역시 동구 송미로 7, (송림동)",37.48101140000001,126.6475031
봄소아청소년과의원,경기도,고양덕양구,"경기도 고양시 덕양구 호국로 819, 1층 (주교동, 신도빌딩)",37.6774735,126.9108594
봄소아청소년과의원,경기도,김포시,"경기도 김포시 김포한강1로51번길 12, 3층 (장기동, 동서메디칼빌딩)",37.6436587,126.6677199
봄소아청소년과의원,경기도,파주시,"경기도 파주시 문산읍 당동2로 1, 홈프라자 3층304호",37.8677695,126.7850436
봄소아청소년과의원,경기도,남양주시,"경기도 남양주시 별내중앙로 49, 2층 (별내동)",37.6468457,127.1236459
봄소아청소년과의원,경기도,수원영통구,"경기도 수원시 영통구 영통로 195, 5층 505호 (망포동, 골든스퀘어)",37.2414773,127.0624873
봄소아청소년과의원,경기도,성남분당구,"경기도 성남시 분당구 판교로 372, 405호 (삼평동, 스타식스코아1)",37.4037238,127.1156829
봄연합소아청소년과의원,경상북도,구미시,"경상북도 구미시 산호대로31길 15, 4층 (옥계동, 메디파크)",36.1377437,128.4220652
봉담도담소아청소년과의원,경기도,화성시,"경기도 화성시 봉담읍 매봉로 443, 301호",37.2239314,126.9473733
봉봉소아청소년과의원,경기도,평택시,"경기도 평택시 청북읍 안청로 332, (청북읍)",37.0174948,126.9159496
봉봉소아청소년과의원,경기도,고양일산동구,"경기도 고양시 일산동구 위시티로 32, 302호 (식사동)",37.6752777,126.8088703
봉선드림소아청소년과의원,광주광역시,광주남구,"광주광역시 남구 제석로 104, 202동 4층 401호 (봉선동)",35.1238498,126.9076804
부부소아청소년과의원,강원도,원주시,"강원특별자치도 원주시 문막읍 왕건로 48, (문막읍)",37.3238533,127.8292199
부천메디홀스의원,경기도,부천소사구,"경기도 부천시 소사구 경인로110번길 18, 메디홀스병원 (송내동)",37.4832645,126.7674856
부평아이들소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 부평문화로 43, 3층 (부평동, 성균빌딩)",37.4941744,126.721075
북면소아청소년과의원,경상남도,창원의창구,"경상남도 창원시 의창구 북면 동곡로 9, (북면)",35.3172389,128.585285
분당박소아청소년과의원,경기도,성남분당구,"경기도 성남시 분당구 양현로94번길 21, 304호 (이매동, 분당코아빌딩)",37.3909478,127.1263489
분당소아청소년과의원,경기도,성남분당구,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 203-1호 (서현동)",37.383782,127.1247659
분도소아청소년과의원,부산광역시,부산북구,"부산광역시 북구 금곡대로303번길 2, (화명동)",35.235647,129.0134659
브라운소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 열우물로 66, 해동빌딩 2층 (십정동)",37.4737079,126.6995827
브이아이씨(V.I.C)365소아청소년과의원,인천광역시,인천연수구,"인천광역시 연수구 송도국제대로 157, 오네스타 4층,7층 409호,701~710호 (송도동)",37.3809064,126.6566628
비타민소아청소년과의원,서울특별시,강동구,"서울특별시 강동구 아리수로93나길 54, 경서프라자 4층 401,402호 (강일동)",37.5722656,127.1748611
